繁體	简体	吴拼	原书转写吴拼	页码
涾涾滾	涾涾滚	daq daq kuen	daq daq kuen	376
淘	淘	dau2	dau2	377
淘籮	淘箩	dau lou	dau lou	377
淘閒氣	淘闲气	dau ghae chi	dau ghae chi	377
淡口	淡口	dae kheu	dae kheu	377
淡包	淡包	dae pau	dae pau	377
淡水水	淡水水	dae syu syu	dae syu syu	377
淡包車	淡包车	dae pau tsho	dae pau tsho	377
淡沙沙	淡沙沙	dae so so	dae so so	377
淡呵呵	淡呵呵	dae hou hou	dae hou hou	377
淡括括	淡括括	dae kuaq kuaq	dae kuaq kuaq	378
淡㽺㽺	淡㽺㽺	dae shiq shiq	dae shiq shiq	378
淡水括得	淡水括得	dae syu kuaq taq	dae syu kuaq taq	378
淡括裏漿	淡括里浆	dae kuaq li cian	dae kuaq li cian	378
淡括裏漿	淡括里浆	dae kuaq gni cian	dae kuaq gni cian	378
深山冷嶴	深山冷岙	shin sae lan au	shin sae lan au	378
婆婆	婆婆	bou bou	bou bou	378
盪	盪	daon4	daon6	378
滲人	渗人	sen gnin	sen gnin	378
情致	情致	jin tsyu	jin tsyu	378
情被	情被	jin bi	jin bi	378
㥆	㥆	thaq7	thaq7	378
㥆落	㥆落	thaq loq	thaq loq	379
慣常	惯常	kuae dzaon	kuae dzaon	379
窒	窒	tsy1	tsy1	379
密擦緊	密擦紧	miq tshaq cin	miq tshaq cin	379
諫	谏	gae6	gae6	379
皸	皲	ciun1	ciun1	379
襛	襛	nhon1	nhon1	379
謎子	谜子	mei tsy	mei tsy	379
弶	弶	jian6	jian6	379
彈	弹	dae2	dae2	379
彈子	弹子	dae tsy	dae tsy	380
彈塗	弹涂	dae lu	dae lu	380
彈塗	弹涂	dae wu	dae wu	380
彈門蟹	弹门蟹	dae men ha	dae men ha	380
彈花㪝槌	弹花㪝槌	dae huo li dzyu	dae huo li dzyu	380
墮民	堕民	dou min	dou min	380
隨手	随手	zei shieu	zei shieu	381
隨水	随水	zei syu	zei syu	381
隨舍	随舍	zei so	zei so	381
隨常	随常	zei dzaon	zei dzaon	381
隨路	随路	zei lu	zei lu	381
隨到裏	随到里	zei tau li	zei tau li	381
隨儂咋	随侬咋	zei ng dza	zei ng dza	381
蛋殼球	蛋壳球	dae khoq jieu	dae khoq jieu	381
蛋殼皮球	蛋壳皮球	dae khoq bi jieu	dae khoq bi jieu	382
婊子兒子	婊子儿子	piau tsy ng tsy	piau tsy ng tsy	382
繃	绷	pan1	pan1	382
繃子	绷子	pan tsy	pan tsy	382
繃場面	绷场面	pan jian mi	pan jian mi	382
繃袋口	绷袋口	pan de kheu	pan de kheu	382
繟嘴	𦈎嘴	dae tsyu	dae tsyu	382
綻	绽	dzae6	dzae6	382
綻柱	绽柱	dzae dzyu	dzae dzyu	383
綠萍	绿萍	loq bin	loq bin	383
綠頭鴨	绿头鸭	loq deu ae	loq deu ae	383
綠鬱鬱	绿郁郁	loq iuq iuq	loq iuq iuq	383
䴱	䴱	thou1	thou1	383
斑毛	斑毛	pae mau	pae mau	383
揍	揍	tsheu5	tsheu5	383
搑	搑	gnion4	gnion6	383
搭	搭	taq7	taq7	383
搭	搭	toq7	toq7	383
搭	搭	tiq7	tiq7	383
搭子	搭子	taq tsy	taq tsy	384
搭仔	搭仔	taq tsy	taq tsy	384
搭對	搭对	taq tei	taq tei	384
搭肝	搭肝	taq ki	taq ki	384
搭界	搭界	taq ka	taq ka	384
搭脈	搭脉	taq maq	taq maq	384
搭班	搭班	taq pae	taq pae	384
搭橋	搭桥	taq jiau	taq jiau	384
搭漿	搭浆	taq cian	taq cian	384
搭搭漿	搭搭浆	taq taq cian	taq taq cian	384
搭袱	搭袱	taq boq	taq boq	385
搭襻	搭襻	taq phae	taq phae	385
搭夥精	搭伙精	taq hou cin	taq hou cin	385
搭地灰撲	搭地灰扑	taq di huei phoq	taq di huei phoq	385
揸	揸	tso1	tso1	385
𡍲	𡍲	taq7	taq7	385
𡍲	𡍲	thaq7	thaq7	385
揩	揩	kae3	kae5	385
揩布	揩布	kha pu	kha pu	385
揩刷	揩刷	kha syuq	kha soq	385
揩屁眼	揩屁眼	kae phi ngae	kae phi ngae	385
揩桌布	揩桌布	kha tsoq pu	kha tsoq pu	386
趁早摸亮	趁早摸亮	chin tsau moq lian	chin tsau moq lian	386
超	超	chiau1	chiau1	386
提桶	提桶	di don	di don	386
博	博	poq7	poq7	386
搵	搵	uen5	uen5	386
撳釘	揿钉	chin tin	chin tin	386
撳紐	揿纽	chin gnieu	chin gnieu	386
插撲	插扑	tshaq phoq	tshaq phoq	386
插眼	插眼	tsha ngae	tsha ngae	387
插板桌	插板桌	tshaq pae tsoq	tshaq pae tsoq	387
插蠟燭	插蜡烛	tshaq laq tsoq	tshaq laq tsoq	387
揪	揪	chieu1	chieu1	387
𢯰	𢯰	liq8	liq8	387
𡓦頭	𡓦头	zae deu	zae deu	387
摪喉	摪喉	chian on	chian on	387
裁片	裁片	ze phi	ze phi	387
揞	揞	an5	an5	387
揞	揞	khan5	khan5	387
揞	揞	ae5	ae5	387
擱庋	搁庋	koq ci	koq ci	388
擱廊	搁廊	koq laon	koq laon	388
擱碟	搁碟	koq diaq	koq diq	388
𢱤	𢱤	son3	son3	388
摟	搂	lheu1	lheu1	388
搲	搲	uo1	uo1	388
揢	揢	khaq7	khaq7	388
揢簍	揢篓	khaq lou	khaq lou	389
揙	揙	pi1	pi1	389
斯文	斯文	sy ven	sy ven	389
欺軟怕惡	欺软怕恶	chi gniu pho oq	chi gniu pho oq	389
欺軟怕惡	欺软怕恶	chi li pho oq	chi li pho oq	389
蕡香	蕡香	phen shian	phen shian	389
噴香	喷香	phen shian	phen shian	389
散	散	sae5	sae5	389
散板	散板	sae pae	sae pae	389
散滔滔	散滔滔	sae thau thau	sae thau thau	389
散時不節	散时不节	sae zy paq ciq	sae zy paq ciq	389
惹	惹	zo4	zo6	389
惹厭	惹厌	zo i	zo i	390
惹得得	惹得得	zo taq taq	zo taq taq	390
惹彈梅	惹弹梅	zo dae mei	zo dae mei	390
蒂頭	蒂头	ti deu	ti deu	390
落	落	loq8	loq8	390
落手	落手	loq shieu	loq shieu	390
落月	落月	loq yuq	loq yuq	390
落軋	落轧	loq gaq	loq gaq	390
落目	落目	loq moq	loq moq	390
落市	落市	loq zy	loq zy	391
落頭	落头	loq deu	loq deu	391
落直	落直	loq jiq	loq jiq	391
落夜	落夜	loq ya	loq ya	391
落底	落底	loq ti	loq ti	391
落家	落家	loq ko	loq ko	391
落得	落得	loq taq	loq taq	391
落腳	落脚	loq ciaq	loq ciq	391
落寇	落寇	loq khoq	loq khoq	391
落檻	落槛	loq khae	loq khae	391
落薄	落薄	loq boq	loq boq	391
落沙貨	落沙货	loq so hou	loq so hou	392
落弶老鼠	落弶老鼠	loq jian lau tsy	loq jian lau tsy	392
朝白笑	朝白笑	jiau baq shiau	jiau baq shiau	392
棒頭	棒头	baon deu	baon deu	392
棒頭	棒头	baon dei	baon dei	392
棒冰	棒冰	baon pin	baon pin	392
棒頭糖	棒头糖	baon deu daon	baon deu daon	392
棒頭糖	棒头糖	baon dei daon	baon dei daon	392
棚蟲	棚虫	ban dzon	ban dzon	392
棕繃桯	棕绷桯	tson pan thin	tson pan thin	392
廚	厨	dzyu2	dzyu2	392
廚工	厨工	dzyu kon	dzyu kon	392
⿱厭肉	⿱厌肉	i3	i3	392
硬傷	硬伤	ngan saon	ngan saon	392
硬勁	硬劲	ngan cin	ngan cin	393
硬柴	硬柴	ngan za	ngan za	393
硬𡇠	硬𡇠	ngan tsaq	ngan tsaq	393
硬黃	硬黄	ngan waon	ngan waon	393
硬做	硬做	ngan tsou	ngan tsou	393
硬照	硬照	ngan ciau	ngan ciau	393
硬儠	硬儠	ngan laq	ngan laq	393
硬卜卜	硬卜卜	ngan poq poq	ngan poq poq	393
硬侄侄	硬侄侄	ngan tsy tsy	ngan tsy tsy	393
硬要當	硬要当	ngan iau taon	ngan iau taon	394
硬骨粒	硬骨粒	ngan kuaq liq	ngan kuaq liq	394
硬絞𢺵	硬绞𢺵	ngan gau ji	ngan gau ji	394
硬剝剝	硬剥剥	ngan poq poq	ngan poq poq	394
硬硈硈	硬硈硈	ngan ciq ciq	ngan ciq ciq	394
硬粨紙	硬粨纸	ngan paq tsy	ngan paq tsy	394
硬碰硬	硬碰硬	ngan phan ngan	ngan phan ngan	394
硬嘴巴	硬嘴巴	ngan tsyu po	ngan tsyu po	394
硬的剝落	硬的剥落	ngan tiq poq loq	ngan tiq poq loq	394
雁鵝	雁鹅	nga ngou	nga ngou	394
𣂁	𣂁	thiau3	thiau3	395
敧	敧	ji2	ji2	395
𧰵	𧰵	toq7	toq7	395
𧰵鼓	𧰵鼓	toq ku	toq ku	395
殕	殕	bu6	bu6	395
殕	殕	fu3	fu3	395
槧	椠	chi1	chi1	395
翹	翘	jiau6	jiau6	395
翹	翘	chiau5	chiau5	395
翹聳聳	翘耸耸	chiau son son	chiau son son	395
翹辮子	翘辫子	chiau bi tsy	chiau bi tsy	395
𣥼	𣥼	ci5	ci5	395
齘	齘	gaq8	gaq8	396
齙	龅	bo6	bo6	396
齙牙	龅牙	bo ngo	bo ngo	396
紫血泡	紫血泡	tsy shiuq phau	tsy shiuq phau	396
紫殼蟹	紫壳蟹	tsy khoq ha	tsy khoq ha	396
紫絳色	紫绛色	tsy cian saq	tsy cian saq	396
紫葡萄	紫葡萄	tsy bu dau	tsy bu dau	396
紫胡萄	紫胡萄	tsy wu dau	tsy wu dau	396
紫䵬䵬	紫䵬䵬	tsy taq taq	tsy taq taq	396
睏	睏	khuen5	khuen5	396
睏覺	睏觉	khuen kau	khuen kau	396
睏相	睏相	khuen shian	khuen shian	397
睏椅	睏椅	khuen i	khuen i	397
睏椅	睏椅	khuen iu	khuen iu	397
睏失覺	睏失觉	khuen syuq kau	khuen soq kau	397
睏晏覺	睏晏觉	khuen ae kau	khuen ae kau	397
噴頭	喷头	phen deu	phen deu	397
噴酥	喷酥	phen su	phen su	397
嗒	嗒	taq7	taq7	397
喳喳	喳喳	dzo dzo	dzo dzo	397
喳喳	喳喳	tso tso	tso tso	397
跍	跍	gu2	gu2	397
跍倒	跍倒	gu tau	gu tau	397
跌落	跌落	tiq loq	tiq loq	397
跌落	跌落	toq loq	toq loq	397
跌倒勢講	跌倒势讲	tiq tau syu kaon	tiq tau syu kaon	398
跔	跔	geu6	geu6	398
跔掉	跔掉	geu diau	geu diau	398
跔頭縮頸	跔头缩颈	geu deu soq cin	geu deu soq cin	398
跑春	跑春	phau tshyun	phau tshyun	398
跑鞋	跑鞋	bau gha	bau gha	398
螄螺	蛳螺	sy lou	sy lou	398
蜒蚰螺	蜒蚰螺	yi yi lou	yi yi lou	398
蜒蚰螺	蜒蚰螺	yi yi loe	yi yi loe	398
蛤蚆	蛤蚆	kaq po	kaq po	399
蛤螷	蛤螷	kaq bi	kaq bi	399
蛤螷油	蛤螷油	kaq bi yeu	kaq bi yeu	399
喁喁	喁喁	gniu gniu	gniu gniu	399
𰤻	𰤻	dzaon6	dzaon6	399
𰤻籃	𰤻篮	dzaon lae	dzaon lae	399
𰤻箱櫥	𰤻箱橱	dzaon shian dzyu	dzaon shian dzyu	399
喢亂話	喢乱话	tshaq loe wo	tshaq loe wo	399
喥喥	喥喥	do do	do do	399
𠷇	𠷇	syu5	syu5	399
喌喌	喌喌	tsoq tsoq	tsoq tsoq	400
喌喌	喌喌	tso tso	tso tso	400
賭坯	赌坯	tu phei	tu phei	400
賭東道	赌东道	tu ton dau	tu ton dau	400
黑叉	黑叉	haq tsho	haq tsho	400
黑心	黑心	haq shin	haq shin	400
黑飯	黑饭	haq vae	haq vae	400
黑炭	黑炭	haq thae	haq thae	400
黑嫩	黑嫩	haq nen	haq nen	400
黑括嫩	黑括嫩	haq kuaq nen	haq kuaq nen	400
黑括斯嫩	黑括斯嫩	haq kuaq sy nen	haq kuaq sy nen	400
黑醜醜	黑丑丑	haq chieu chieu	haq chieu chieu	400
黑呼嘯	黑呼啸	haq fu shiau	haq fu shiau	400
黑油筒	黑油筒	haq yeu don	haq yeu don	400
黑油菜	黑油菜	haq yeu tshe	haq yeu tshe	400
黑谸谸	黑谸谸	haq chi chi	haq chi chi	401
黑清早	黑清早	haq chin tsau	haq chin tsau	401
黑㿳㿳	黑㿳㿳	haq tsy tsy	haq tsy tsy	401
黑黢黢	黑黢黢	haq tshyuq tshyuq	haq tshyuq tshyuq	401
黑䵬䵬	黑䵬䵬	haq thaq thaq	haq thaq thaq	401
黑的剝落	黑的剥落	haq tiq poq loq	haq tiq poq loq	401
鋪於	铺於	phu u	phu u	401
銷釘	销钉	shiau tin	shiau tin	401
鋥亮	锃亮	dzan lian	dzan lian	401
鋥括亮	锃括亮	dzan kuaq lian	dzan kuaq lian	401
鋥括斯亮	锃括斯亮	dzan kuaq sy lian	dzan kuaq sy lian	401
鍋子	锅子	kou tsy	kou tsy	401
鋒快	锋快	fen khua	fen khua	402
鋦子	锔子	jiuq tsy	jiuq tsy	402
短𠭴𠭴	短𠭴𠭴	toe tshyuq tshyuq	toe tshyuq tshyuq	402
短命促死	短命促死	toe min tshaq shi	toe min tshaq shi	402
𤿩	𤿩	khoq7	khoq7	402
鵝娘	鹅娘	ngou gnian	ngou gnian	402
鵝菜	鹅菜	ngou tshe	ngou tshe	402
鵝菜	鹅菜	ngou tshoe	ngou tshoe	402
鵝毛月	鹅毛月	ngou mau yuq	ngou mau yuq	402
𨔨𨔨	𨔨𨔨	tshaq tshaq	tshaq tshaq	402
稍瓜	稍瓜	sau kuo	sau kuo	402
稍尠	稍尠	shiau syu	shiau syu	402
等	等	ten3	ten1	403
等頃	等顷	ten chian	ten chian	403
等晌	等晌	ten zaon	ten zaon	403
築漏	筑漏	tsoq leu	tsoq leu	403
筒頭麪	筒头面	don deu mi	don deu mi	403
答頭	答头	taq deu	taq deu	403
筋倒	筋倒	cin tau	cin tau	403
筋骸	筋骸	cin hae	cin hae	403
傲	傲	ngau6	ngau6	403
牌頭	牌头	ba deu	ba deu	403
焦芽氣	焦芽气	ciau ngo chi	ciau ngo chi	404
焦焦黃	焦焦黄	ciau ciau waon	ciau ciau waon	404
焦得斯黃	焦得斯黄	ciau taq sy waon	ciau taq sy waon	404
焦黃勒裏	焦黄勒里	ciau waon laq li	ciau waon laq li	404
焦𪒢𪒢	焦𪒢𪒢	ciau phoq phoq	ciau phoq phoq	404
傍早	傍早	baon tsau	baon tsau	404
循規蹈矩	循规蹈矩	jin kuei dau ciu	jin kuei dau ciu	404
循規蹈矩	循规蹈矩	zyun kuei dau ciu	zyun kuei dau ciu	404
舒意	舒意	syu i	syu i	404
釉璃傢伙	釉璃家火	yeu li ko hou	yeu li ko hou	404
番薯	番薯	fae zyu	fae zyu	404
番薯乾	番薯干	fae zyu ki	fae zyu ki	404
番薯屑	番薯屑	fae zyu shiq	fae zyu shiq	404
番薯片	番薯片	fae zyu phi	fae zyu phi	404
番薯角	番薯角	fae zyu koq	fae zyu koq	404
番薯䉭	番薯䉭	fae zyu liq	fae zyu liq	405
釋	释	saq7	saq7	405
釋水	释水	saq syu	saq syu	405
腈	腈	cin1	cin1	405
腈肉	腈肉	cin gnioq	cin gnioq	405
餿氣	馊气	seu chi	seu chi	405
饞勞	馋劳	dzae lau	dzae lau	405
饞唾	馋唾	zae thu	zae thu	405
饞癆	馋痨	dzae lau	dzae lau	406
饞獠	馋獠	dzae lau	dzae lau	406
饞癆幺麼	馋痨幺么	dzae lau o mo	dzae lau o mo	406
裝	装	tsaon1	tsaon1	406
裝賴羊	装赖羊	tsaon la yan	tsaon la yan	406
蠻	蛮	mhae1	mhae1	406
蠻氣	蛮气	mae chi	mae chi	406
蠻長	蛮长	mae jian	mae jian	406
蠻長長	蛮长长	mae jian jian	mae jian jian	406
蠻長蠻大	蛮长蛮大	mae jian mae dou	mae jian mae dou	406
敦	敦	ten5	ten5	406
敦枋	敦枋	ten faon	ten faon	407
敦樣	敦样	ten yan	ten yan	407
痚駝	痚驼	hau dou	hau dou	407
癆瘵	痨瘵	lau chiq	lau chiq	407
痗心弗過	痗心弗过	mei shin vaq kou	mei shin faq kou	407
痛㾙㾙	痛㾙㾙	thon shi shi	thon shi shi	407
㰵	㰵	tsyuq7	tsoq7	407
粢飯	粢饭	tshy vae	tshy vae	407
粢飯	粢饭	tshyu vae	tshyu vae	407
粢飯糕	粢饭糕	tshy vae kau	tshy vae kau	408
粢飯糕	粢饭糕	tshyu vae kau	tshyu vae kau	408
童子雞	童子鸡	don tsy ci	don tsy ci	408
㪗	㪗	theu3	theu3	408
闄	闄	iau3	iau3	408
闄接	闄接	iau ciq	iau ciq	408
闊剌柴	阔剌柴	khuaq la za	khuaq la za	408
善	善	zoe4	zoe6	408
糞箕	粪箕	fen ci	fen ci	408
⿰米厭	⿰米厌	iq7	iq7	408
尊	尊	tsen1	tsen1	408
道頭	道头	dau deu	dau deu	409
道地	道地	dau di	dau di	409
道場地	道场地	dau jian di	dau jian di	409
𤉦暖	𤉦暖	ou noe	ou noe	409
滯	滞	dzyu6	dzyu6	409
溚溚渧	溚溚渧	taq taq ti	taq taq ti	409
溼	湿	saq7	saq7	409
溼人	湿人	shiq gnin	shiq gnin	409
溼溚溚	湿溚溚	shiq tsaq tsaq	shiq tsaq tsaq	410
溼溼澾澾	湿湿㳠㳠	saq saq daq daq	saq saq daq daq	410
溫㬮	温𰖠	uen then	uen then	410
溫暾	温暾	uen then	uen then	410
滑子	滑子	waq tsy	waq tsy	410
滑相	滑相	waq shian	waq shian	410
滑脫	滑脱	waq thaq	waq thaq	410
滑澾澾	滑㳠㳠	waq daq daq	waq daq daq	410
滑涎涎	滑涎涎	waq dzae dzae	waq dzae dzae	411
滑涎涎	滑涎涎	waq zae zae	waq zae zae	411
滑頭滑腦	滑头滑脑	waq deu waq nau	waq deu waq nau	411
滑澾精光	滑㳠精光	waq daq cin kuaon	waq daq cin kuaon	411
游河	游河	yeu ghou	yeu ghou	411
游蛄	游蛄	yeu ku	yeu ku	411
渧	渧	ti5	ti5	411
𣻇	𣻇	then3	then3	411
渳	渳	mhi5	mhi5	411
慌氣	慌气	huaon chi	huaon chi	411
慌稀稀	慌稀稀	huaon shi shi	huaon shi shi	411
慌急慌忙	慌急慌忙	huaon ciq huaon maon	huaon ciq huaon maon	412
𢝉𢝉動	𢝉𢝉动	taq taq don	taq taq don	412
惶恐	惶恐	waon khon	waon khon	412
𢜭力	𢜭力	jiaq liq	jiq liq	412
割	割	kaq7	kaq7	412
割稻時	割稻时	kaq dau zy	kaq dau zy	412
割稻汛裏	割稻汛里	kaq dau shin li	kaq dau shin li	412
寒熱	寒热	ghei gniq	ghei gniq	412
寒抖抖	寒抖抖	ghei teu teu	ghei teu teu	412
寒勢勢	寒势势	ghei syu syu	ghei syu syu	412
寒凚凚	寒凚凚	ghei jin jin	ghei jin jin	413
寋叉	寋叉	ge tsho	ge tsho	413
富庶	富庶	fu syu	fu syu	413
富陽灰	富阳灰	fu yan huei	fu yan huei	413
竄頭	窜头	tshoe deu	tshoe deu	413
窩心	窝心	ou shin	ou shin	413
窩風	窝风	ou fon	ou fon	413
窩飳	窝飳	ou tsyu	ou tsyu	413
窩飳	窝飳	ou tsy	ou tsy	413
窗門	窗门	tshaon men	tshaon men	413
窗頭	窗头	tshaon deu	tshaon deu	413
𡎺漏	𡎺漏	tsoq leu	tsoq leu	414
褲袋	裤袋	khu de	khu de	414
褲腳	裤脚	khu ciaq	khu ciq	414
褲腳筒	裤脚筒	khu ciaq don	khu ciq don	414
襉	裥	kae3	kae3	414
謝年	谢年	zhia gni	zhia gni	414
謝洋	谢洋	zhia yan	zhia yan	414
謞	𰵿	hoq7	hoq7	414
屬屬	属属	tsoq tsoq	tsoq tsoq	414
強	强	jian2	jian2	414
強討飯	强讨饭	jian thau vae	jian thau vae	414
強盜蝦	强盗虾	jian dau huo	jian dau huo	415
強頭倔腦	强头倔脑	jian deu jiuq nau	jian deu jiuq nau	415
強頭強腦	强头强脑	jian deu jian nau	jian deu jian nau	415
強橫霸道	强横霸道	jian uan po dau	jian uan po dau	415
隔日	隔日	kaq gniq	kaq gniq	415
隔火牆	隔火墙	kaq hou zhian	kaq hou zhian	415
隔洋過海	隔洋过海	kaq yan kou he	kaq yan kou he	415
隘	隘	ka5	ka5	415
絮	絮	shi5	shi5	415
𨠒	𨠒	fae5	fae5	415
𨠒黃	𨠒黄	fae waon	fae waon	416
登	登	ten1	ten1	416
皴㿭	皴㿭	tshyun tshaq	tshyun tshaq	416
緬	缅	mi6	mi6	416
緝	缉	chiq7	chiq7	416
緶	缏	bi2	bi2	416
縋	缒	dzyu6	dzyu6	416
緩𠆩	缓𠆩	wun fae	wu fae	416
緩𠆩頭	缓𠆩头	wun fae deu	wu fae deu	416
緩𠆩𠆩	缓𠆩𠆩	wun fae fae	wu fae fae	416
緩調繟	缓调𦈎	wun diau dae	wu diau dae	417
騙賊柺子	骗贼拐子	phi zaq kua tsy	phi zaq kua tsy	417
騲雞	騲鸡	tshau ci	tshau ci	417
剺	剺	li6	li6	417
𢆞	𢆞	ciq7	ciq7	417
魂靈	魂灵	waq lin	waq lin	417
𢲔	𢲔	pae5	pae5	417
搕	搕	khaq7	khaq7	417
摸六株	摸六株	moq loq tsyu	moq loq tsyu	417
摸夜遊	摸夜游	moq ya yeu	moq ya yeu	418
摸暗子	摸暗子	moq ei tsy	moq ei tsy	418
𢱢	𢱢	soq7	soq7	418
塥泥	塥泥	kaq gni	kaq gni	418
搣	搣	miq8	miq8	418
㨖	㨖	tsyu5	tsyu5	418
攄	摅	lou4	lou6	418
攄掉	摅掉	lou diau	lou diau	418
攄翻	摅翻	lou fae	lou fae	418
趌趌	趌趌	jiq jiq	jiq jiq	419
趬趬	趬趬	chiau chiau	chiau chiau	419
塌	塌	thaq7	thaq7	419
塌	塌	thae1	thae3	419
塌蒲帽	塌蒲帽	thaq bu mau	thaq bu mau	419
搨	搨	thaq7	thaq7	419
擺平	摆平	pa bin	pa bin	419
擺相	摆相	pa shian	pa shian	419
擺攤	摆摊	pa thae	pa thae	419
䞒紅	䞒红	don ghon	don ghon	420
搬嫁妝	搬嫁妆	pun ko tsaon	pu ko tsaon	420
搬嫁資衣	搬嫁资衣	pun ko tsy i	pu ko tsy i	420
搇	搇	chin5	chin5	420
塳塵	塳尘	bon jin	bon jin	420
跫跫	跫跫	gon gon	gon gon	420
㨨	㨨	jieu2	jieu2	420
搪	搪	daon2	daon2	420
搪粉	搪粉	daon fen	daon fen	420
搪鉛杯	搪铅杯	daon khae pei	daon khae pei	421
搪口杯	搪口杯	daon kheu pei	daon kheu pei	421
塘魚	塘鱼	daon ng	daon ng	421
塘河	塘河	daon ghou	daon ghou	421
嗀	嗀	hoq7	hoq7	421
攤	摊	thae1	thae1	421
攤頭	摊头	thae deu	thae deu	421
搡	搡	saon5	saon5	421
𤯇𤯇動	𤯇𤯇动	yi yi don	yi yi don	421
蒜苗	蒜苗	soe miau	soe miau	422
勤力	勤力	jin liq	jin liq	422
皵	皵	chiq7	chiq7	422
皵頭	皵头	chiq deu	chiq deu	422
藍扳	蓝扳	lae pae	lae pae	422
藍邊碗	蓝边碗	lae pi un	lae pi u	422
藍藥水	蓝药水	lae yaq syu	lae yiq syu	422
藍𤿠𤿠	蓝𤿠𤿠	lae ciq ciq	lae ciq ciq	422
蓬	蓬	bon2	bon2	422
蒿菜	蒿菜	hau tshe	hau tshe	423
蒲帽	蒲帽	bu mau	bu mau	423
蒸飯	蒸饭	cin vae	cin vae	423
楔子	楔子	chi tsy	chi tsy	423
楐櫥	楐橱	ka dzyu	ka dzyu	423
楤擔	楤担	tshon tae	tshon tae	423
樓頂	楼顶	leu ten	leu ten	423
賴三	赖三	la sae	la sae	423
賴伏	赖伏	la bu	la bu	423
賴孵	赖孵	la bu	la bu	424
賴學	赖学	la ghoq	la ghoq	423
賴花頭	赖花头	la huo deu	la huo deu	423
賴孵雞	赖孵鸡	la bu ci	la bu ci	424
㪝槌	㪝槌	li dzyu	li dzyu	424
碎票	碎票	sei phiau	sei phiau	424
碰掙	碰挣	ban tsan	ban tsan	424
碰和檯	碰和台	phan wu de	phan wu de	424
碗盞	碗盏	un tsae	u tsae	424
碗腳	碗脚	un ciaq	u ciq	424
碗腳	碗脚	un cian	u cian	424
碗蔥	碗葱	un tshon	u tshon	424
碗頭蔥	碗头葱	un deu tshon	u deu tshon	424
殟煞	殟煞	uaq saq	uaq saq	424
殟恅恅	殟恅恅	uaq lau lau	uaq lau lau	424
雷大	雷大	lei dou	lei dou	424
雷筍	雷笋	lei syun	lei syun	425
霧露	雾露	wu lu	wu lu	425
霧露	雾露	vu lu	wu lu	425
霧露恰恰	雾露恰恰	wu lu chia chia	wu lu chia chia	425
霧露恰恰	雾露恰恰	vu lu chia chia	wu lu chia chia	425
㪥	㪥	tso1	tso1	425
睬儂瞎子	睬侬瞎子	tshe nou haq tsy	tshe nou haq tsy	425
睬儂老白眼	睬侬老白眼	tshe nou lau baq ngae	tshe nou lau baq ngae	425
睬儂阿白哥	睬侬阿白哥	tshe nou aq baq kou	tshe nou aq baq kou	425
睩	睩	lhoq7	lhoq7	425
嗬	嗬	ghou2	ghou2	425
嗬	嗬	ghau2	ghau2	425
嗄飯	嗄饭	gho vae	gho vae	425
暖房	暖房	noe vaon	noe vaon	426
暖鍋	暖锅	noe kou	noe kou	426
煦	煦	heu5	heu5	426
煦飯	煦饭	heu vae	heu vae	426
歇	歇	shiq7	shiq7	426
歇手	歇手	shiq shieu	shiq shieu	426
歇過	歇过	shiq kou	shiq kou	426
歇晝	歇昼	shiq cieu	shiq cieu	426
暗氣	暗气	ei chi	ei chi	426
暗頭	暗头	ei deu	ei deu	426
暗頭裏	暗头里	ei deu li	ei deu li	427
暗黢黢	暗黢黢	ei tshyuq tshyuq	ei tshyuq tshyuq	427
暗黲黲	暗黪黪	ei tshen tshen	ei tshen tshen	427
暗力卜朧	暗力卜胧	ei liq boq lon	ei liq boq lon	427
暗力卜朧	暗力卜胧	ei diq boq lon	ei diq boq lon	427
照會	照会	ciau wei	ciau wei	427
照相	照相	ciau shian	ciau shian	427
蹺腳	跷脚	chiau ciaq	chiau ciq	427
跺	跺	tho3	tho3	427
跺底	跺底	tho ti	tho ti	427
路	路	lu6	lu6	427
路菜	路菜	lu tshe	lu tshe	427
路梯	路梯	lu the	lu the	427
路梯	路梯	lu thi	lu thi	427
路街	路街	lu ka	lu ka	428
路數	路数	lu su	lu su	428
路道	路道	lu dau	lu dau	428
路梯棚頭	路梯棚头	lu the ban deu	lu the ban deu	428
嗯嗯支支	嗯嗯支支	en en tsy tsy	en en tsy tsy	428
嗅	嗅	shion5	shion5	428
嗅嘴	嗅嘴	shion tsyu	shion tsyu	428
嗲	嗲	tia3	tia3	428
嗍	嗍	soq7	soq7	428
嗐	嗐	ghe6	ghe6	428
嗐嗐	嗐嗐	ghe ghe	ghe ghe	429
嗓	嗓	saon3	saon3	429
罪過	罪过	zei kou	zei kou	429
罩衫	罩衫	tsau sae	tsau sae	429
䞁	䞁	i5	i5	429
䞁草	䞁草	i tshau	i tshau	429
䞁棒	䞁棒	i baon	i baon	429
䞀	䞀	gheu2	gheu2	429
錯心	错心	tshou shin	tshou shin	430
錯拼	错拼	tshou phin	tshou phin	430
錯落	错落	tshou loq	tshou loq	430
錫瓶	锡瓶	shiq bin	shiq bin	430
錠炭	锭炭	din thae	din thae	430
鋸屑	锯屑	ki shiq	ki shiq	430
鋸屑	锯屑	kei shiq	kei shiq	430
鋸屑板	锯屑板	ki shiq pae	ki shiq pae	430
鋸屑板	锯屑板	kei shiq pae	kei shiq pae	430
矮門	矮门	a men	a men	430
